request_date,complaint_type,borough,request_count
2022-01-09T00:00:00.000,HEAT/HOT WATER,BROOKLYN,394
2022-01-09T00:00:00.000,HEAT/HOT WATER,MANHATTAN,335
2022-01-09T00:00:00.000,HEAT/HOT WATER,QUEENS,193
2022-01-09T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,16
2022-01-09T00:00:00.000,Noise - Street/Sidewalk,BRONX,37
2022-01-09T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,23
2022-01-09T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,53
2022-01-09T00:00:00.000,Noise - Street/Sidewalk,QUEENS,7
2022-01-09T00:00:00.000,Noise - Street/Sidewalk,STATEN ISLAND,5
2022-01-09T00:00:00.000,Sewer,BRONX,4
2022-01-09T00:00:00.000,Sewer,BROOKLYN,12
2022-01-09T00:00:00.000,Sewer,MANHATTAN,5
2022-01-09T00:00:00.000,Sewer,QUEENS,20
2022-01-09T00:00:00.000,Sewer,STATEN ISLAND,3
2022-01-09T00:00:00.000,Street Condition,BRONX,1
2022-01-09T00:00:00.000,Street Condition,BROOKLYN,47
2022-01-09T00:00:00.000,Street Condition,MANHATTAN,17
2022-01-09T00:00:00.000,Street Condition,QUEENS,39
2022-01-09T00:00:00.000,Street Condition,STATEN ISLAND,7
2022-01-10T00:00:00.000,Air Quality,BROOKLYN,3
2022-01-10T00:00:00.000,Air Quality,MANHATTAN,25
2022-01-10T00:00:00.000,Air Quality,QUEENS,12
2022-01-10T00:00:00.000,Air Quality,STATEN ISLAND,2
2022-01-10T00:00:00.000,HEAT/HOT WATER,BRONX,789
2022-01-10T00:00:00.000,HEAT/HOT WATER,BROOKLYN,629
2022-01-10T00:00:00.000,HEAT/HOT WATER,MANHATTAN,473
2022-01-10T00:00:00.000,HEAT/HOT WATER,QUEENS,260
2022-01-10T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,27
2022-01-10T00:00:00.000,Noise - Street/Sidewalk,BRONX,11
2022-01-10T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,13
2022-01-10T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,19
2022-01-10T00:00:00.000,Noise - Street/Sidewalk,QUEENS,4
2022-01-10T00:00:00.000,Noise - Street/Sidewalk,STATEN ISLAND,1
2022-01-10T00:00:00.000,Sewer,BRONX,18
2022-01-10T00:00:00.000,Sewer,BROOKLYN,21
2022-01-10T00:00:00.000,Sewer,MANHATTAN,4
2022-01-10T00:00:00.000,Sewer,QUEENS,24
2022-01-10T00:00:00.000,Sewer,STATEN ISLAND,11
2022-01-10T00:00:00.000,Street Condition,BRONX,38
2022-01-10T00:00:00.000,Street Condition,BROOKLYN,49
2022-01-10T00:00:00.000,Street Condition,MANHATTAN,32
2022-01-10T00:00:00.000,Street Condition,QUEENS,81
2022-01-10T00:00:00.000,Street Condition,STATEN ISLAND,31
2022-01-11T00:00:00.000,Air Quality,BRONX,1
2022-01-11T00:00:00.000,Air Quality,BROOKLYN,4
2022-01-11T00:00:00.000,Air Quality,MANHATTAN,20
2022-01-11T00:00:00.000,Air Quality,QUEENS,10
2022-01-11T00:00:00.000,HEAT/HOT WATER,BRONX,1549
2022-01-11T00:00:00.000,HEAT/HOT WATER,BROOKLYN,1153
2022-01-11T00:00:00.000,HEAT/HOT WATER,MANHATTAN,1041
2022-01-11T00:00:00.000,HEAT/HOT WATER,QUEENS,590
2022-01-11T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,30
2022-01-11T00:00:00.000,Noise - Street/Sidewalk,BRONX,1
2022-01-11T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,10
2022-01-11T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,27
2022-01-11T00:00:00.000,Noise - Street/Sidewalk,QUEENS,2
2022-01-11T00:00:00.000,Sewer,BRONX,7
2022-01-11T00:00:00.000,Sewer,BROOKLYN,14
2022-01-11T00:00:00.000,Sewer,MANHATTAN,4
2022-01-11T00:00:00.000,Sewer,QUEENS,16
2022-01-11T00:00:00.000,Sewer,STATEN ISLAND,7
2022-01-11T00:00:00.000,Street Condition,BRONX,13
2022-01-11T00:00:00.000,Street Condition,BROOKLYN,65
2022-01-11T00:00:00.000,Street Condition,MANHATTAN,32
2022-01-11T00:00:00.000,Street Condition,QUEENS,84
2022-01-11T00:00:00.000,Street Condition,STATEN ISLAND,25
2022-01-12T00:00:00.000,Air Quality,BRONX,1
2022-01-12T00:00:00.000,Air Quality,BROOKLYN,2
2022-01-12T00:00:00.000,Air Quality,MANHATTAN,46
2022-01-12T00:00:00.000,Air Quality,QUEENS,12
2022-01-12T00:00:00.000,Air Quality,STATEN ISLAND,1
2022-01-12T00:00:00.000,HEAT/HOT WATER,BRONX,983
2022-01-12T00:00:00.000,HEAT/HOT WATER,BROOKLYN,723
2022-01-12T00:00:00.000,HEAT/HOT WATER,MANHATTAN,612
2022-01-12T00:00:00.000,HEAT/HOT WATER,QUEENS,354
2022-01-12T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,25
2022-01-12T00:00:00.000,Noise - Street/Sidewalk,BRONX,9
2022-01-12T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,26
2022-01-12T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,64
2022-01-12T00:00:00.000,Noise - Street/Sidewalk,QUEENS,15
2022-01-12T00:00:00.000,Sewer,BRONX,6
2022-01-12T00:00:00.000,Sewer,BROOKLYN,17
2022-01-12T00:00:00.000,Sewer,MANHATTAN,3
2022-01-12T00:00:00.000,Sewer,QUEENS,24
2022-01-12T00:00:00.000,Sewer,STATEN ISLAND,9
2022-01-12T00:00:00.000,Street Condition,BRONX,28
2022-01-12T00:00:00.000,Street Condition,BROOKLYN,64
2022-01-12T00:00:00.000,Street Condition,MANHATTAN,24
